School_code,School_name,Postcode,School_subtype,ICSEA_value,LBOTE_pct,Indigenous_pct,FOEI_Value,LGA,SA4,AECG_region,Local_health_district,Latitude,Longitude,Cluster
8373,Five Islands Secondary College,2505,Year 10 to Year 12,980.0,10.0,8.0,116.0,Wollongong,Illawarra,Upper South Coast,Illawarra Shoalhaven,-34.489274,150.913541,1
8110,Dubbo College Senior Campus,2830,Year 11 to Year 12,938.0,5.0,30.0,111.0,Dubbo,Far West and Orana,Western 1,Western NSW,-32.23506778,148.6285578,1
8284,Georges River College Oatley Senior Campus,2223,Year 11 to Year 12,1020.0,73.0,1.0,93.0,Georges River,Sydney - Inner South West,Metropolitan East,South Eastern Sydney,-33.977001,151.081391,2
8281,Great Lakes College Senior Campus,2428,Year 11 to Year 12,991.0,5.0,9.0,95.0,Mid-Coast,Mid North Coast,Manning,Hunter New England,-32.16071754,152.4937905,1
8277,Wyndham College,2763,Year 11 to Year 12,997.0,41.0,5.0,100.0,Blacktown,Sydney - Blacktown,Metropolitan West,Western Sydney,-33.72608922,150.8795746,1
8381,Bankstown Senior College,2200,Year 10 to Year 12,858.0,99.0,15.594132029339853,232.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,South Western Sydney,-33.929121,151.022569,2
8272,Coffs Harbour Senior College,2450,Year 11 to Year 12,1033.0,8.0,7.0,65.0,Coffs Harbour,Coffs Harbour - Grafton,Lower North Coast,Mid North Coast,-30.330173,153.102656,0
8880,Callaghan College Jesmond Senior Campus,2299,Year 11 to Year 12,970.0,19.0,11.0,112.0,Newcastle,Newcastle and Lake Macquarie,Hunter,Hunter New England,-32.900971,151.696335,1
8568,Northern Beaches Secondary College Freshwater Senior Campus,2096,Year 11 to Year 12,1088.0,18.0,15.594132029339853,36.0,Northern Beaches,Sydney - Northern Beaches,Metropolitan North,Northern Sydney,-33.76751,151.279975,0
8539,Sydney Secondary College Blackwattle Bay Campus,2037,Year 11 to Year 12,1100.0,40.0,2.0,24.0,Sydney,Sydney - City and Inner South,Metropolitan East,Sydney,-33.875142,151.188357,0
8374,Brisbane Water Secondary College Woy Woy Campus,2256,Year 10 to Year 12,970.0,10.0,13.0,118.0,Central Coast (NSW),Central Coast,Central Coast,Central Coast,-33.492687,151.323582,1
8870,St Marys Senior High School,2760,Year 11 to Year 12,1050.0,75.0,1.0,55.0,Penrith,Sydney - Outer West and Blue Mountains,Metropolitan West,Nepean Blue Mountains,-33.763119,150.770024,0
8325,Moree Secondary College,2400,Year 7 to Year 12,834.0,8.0,49.0,150.0,Moree Plains,New England and North West,North Western 1,Hunter New England,-29.46645,149.842344,3
8473,Chifley College Senior Campus,2770,Year 11 to Year 12,901.0,45.0,20.0,167.0,Blacktown,Sydney - Blacktown,Metropolitan West,Western Sydney,-33.769305,150.829855,1
8138,Sydney Girls High School,2010,Year 7 to Year 12,1190.0,89.0,15.594132029339853,2.0,Sydney,Sydney - Eastern Suburbs,Metropolitan East,South Eastern Sydney,-33.894191,151.220371,0
8241,Moorefield Girls High School,2217,Year 7 to Year 12,1014.0,77.0,3.0,87.0,Bayside (NSW),Sydney - Inner South West,Metropolitan East,South Eastern Sydney,-33.968311,151.137739,2
8320,Kogarah High School,2217,Year 7 to Year 12,990.0,92.0,15.594132029339853,107.0,Georges River,Sydney - Inner South West,Metropolitan East,South Eastern Sydney,-33.961161,151.134227,2
8556,Alexandria Park Community School,2015,Kindergarten to Year 12,1039.0,57.0,16.0,50.0,Sydney,Sydney - City and Inner South,Metropolitan East,Sydney,-33.901164,151.196518,0
8587,Sydney Distance Education High School,2011,Year 7 to Year 12,1029.0,18.0,8.0,87.0,Sydney,Sydney - City and Inner South,Metropolitan East,South Eastern Sydney,-33.871053,151.22098,1
8833,Dulwich High School of Visual Arts and Design,2203,Year 7 to Year 12,1085.0,39.0,4.0,34.0,Inner West,Sydney - Inner West,Metropolitan East,Sydney,-33.904038,151.144871,0
8882,James Cook Boys High School,2217,Year 7 to Year 12,1003.0,70.0,2.0,95.0,Bayside (NSW),Sydney - Inner South West,Metropolitan East,South Eastern Sydney,-33.96648,151.13709,2
8107,Canterbury Boys High School,2193,Year 7 to Year 12,1003.0,84.0,3.0,105.0,Inner West,Sydney - Inner West,Metropolitan East,Sydney,-33.904178,151.123884,2
8136,St George Girls High School,2217,Year 7 to Year 12,1136.0,95.0,0.0,17.0,Georges River,Sydney - Inner South West,Metropolitan East,South Eastern Sydney,-33.959073,151.136035,0
8137,Sydney Boys High School,2021,Year 7 to Year 12,1182.0,93.0,0.0,0.0,Sydney,Sydney - Eastern Suburbs,Metropolitan East,South Eastern Sydney,-33.892165,151.218904,0
8141,Sydney Technical High School,2207,Year 7 to Year 12,1123.0,95.0,15.594132029339853,22.0,Bayside (NSW),Sydney - Inner South West,Metropolitan East,South Eastern Sydney,-33.963075,151.114342,0
8147,Conservatorium High School,2000,Year 7 to Year 12,1176.0,77.0,0.0,0.0,Sydney,Sydney - City and Inner South,Metropolitan East,South Eastern Sydney,-33.863407,151.21408,0
8152,Burwood Girls High School,2132,Year 7 to Year 12,1099.0,61.0,1.0,40.0,Burwood,Sydney - Inner West,Metropolitan East,Sydney,-33.875318,151.113036,0
8161,Randwick Boys High School,2031,Year 7 to Year 12,1071.0,57.0,2.0,51.0,Randwick,Sydney - Eastern Suburbs,Metropolitan East,South Eastern Sydney,-33.924712,151.238771,0
8220,Randwick Girls High School,2031,Year 7 to Year 12,1075.0,52.0,3.0,44.0,Randwick,Sydney - Eastern Suburbs,Metropolitan East,South Eastern Sydney,-33.921832,151.23944,0
8221,Kingsgrove North High School,2208,Year 7 to Year 12,997.0,79.0,2.0,110.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan East,Sydney,-33.93398,151.097628,2
8230,Port Hacking High School,2228,Year 7 to Year 12,1050.0,33.0,3.0,64.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.032395,151.097257,0
8236,Blakehurst High School,2221,Year 7 to Year 12,1038.0,82.0,2.0,72.0,Georges River,Sydney - Inner South West,Metropolitan East,South Eastern Sydney,-33.980406,151.11324,0
8240,Caringbah High School,2229,Year 7 to Year 12,1177.0,55.0,1.0,9.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.034901,151.120399,0
8246,Heathcote High School,2233,Year 7 to Year 12,1019.0,7.0,3.0,87.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.082295,151.01441,1
