School_name,Longitude,Latitude,Cluster
Five Islands Secondary College,150.913541,-34.489274,1
Dubbo College Senior Campus,148.6285578,-32.23506778,1
Georges River College Oatley Senior Campus,151.081391,-33.977001,2
Great Lakes College Senior Campus,152.4937905,-32.16071754,1
Wyndham College,150.8795746,-33.72608922,1
Bankstown Senior College,151.022569,-33.929121,2
Coffs Harbour Senior College,153.102656,-30.330173,0
Callaghan College Jesmond Senior Campus,151.696335,-32.900971,1
Northern Beaches Secondary College Freshwater Senior Campus,151.279975,-33.76751,0
Sydney Secondary College Blackwattle Bay Campus,151.188357,-33.875142,0
Brisbane Water Secondary College Woy Woy Campus,151.323582,-33.492687,1
St Marys Senior High School,150.770024,-33.763119,0
Moree Secondary College,149.842344,-29.46645,3
Chifley College Senior Campus,150.829855,-33.769305,1
Sydney Girls High School,151.220371,-33.894191,0
Moorefield Girls High School,151.137739,-33.968311,2
Kogarah High School,151.134227,-33.961161,2
Alexandria Park Community School,151.196518,-33.901164,0
Sydney Distance Education High School,151.22098,-33.871053,1
Dulwich High School of Visual Arts and Design,151.144871,-33.904038,0
James Cook Boys High School,151.13709,-33.96648,2
Canterbury Boys High School,151.123884,-33.904178,2
St George Girls High School,151.136035,-33.959073,0
Sydney Boys High School,151.218904,-33.892165,0
Sydney Technical High School,151.114342,-33.963075,0
Conservatorium High School,151.21408,-33.863407,0
Burwood Girls High School,151.113036,-33.875318,0
Randwick Boys High School,151.238771,-33.924712,0
Randwick Girls High School,151.23944,-33.921832,0
Kingsgrove North High School,151.097628,-33.93398,2
Port Hacking High School,151.097257,-34.032395,0
Blakehurst High School,151.11324,-33.980406,0
Caringbah High School,151.120399,-34.034901,0
Heathcote High School,151.01441,-34.082295,1
Matraville Sports High School,151.244548,-33.964747,1
Cronulla High School,151.159056,-34.038439,0
J J Cahill Memorial High School,151.201835,-33.927435,2
Lucas Heights Community School,151.004817,-34.035778,0
Gymea Technology High School,151.08338,-34.029985,0
Endeavour Sports High School,151.117251,-34.030083,0
Engadine High School,151.019341,-34.062141,0
Woolooware High School,151.145595,-34.039811,0
Kirrawee High School,151.073475,-34.04348,0
Sylvania High School,151.103529,-34.017367,0
Fort Street High School,151.1529,-33.890196,0
Tempe High School,151.16094,-33.91975,0
Newtown High School of Performing Arts,151.178338,-33.899534,0
Marrickville High School,151.155995,-33.905781,0
South Sydney High School,151.234397,-33.944154,0
Rose Bay Secondary College,151.276121,-33.878347,0
Menai High School,151.023851,-34.002904,0
Canterbury Girls High School,151.122631,-33.907264,0
Ashfield Boys High School,151.129219,-33.889547,0
The Jannali High School,151.061927,-34.021612,0
Kingsgrove High School,151.101653,-33.948519,2
Willoughby Girls High School,151.199957,-33.803128,0
Asquith Girls High School,151.11275,-33.689716,0
Asquith Boys High School,151.103016,-33.692276,0
Pennant Hills High School,151.061087,-33.733692,0
Narrabeen Sports High School,151.298401,-33.700941,0
Northern Beaches Secondary College Manly Campus,151.281355,-33.762388,0
Northern Beaches Secondary College Balgowlah Boys Campus,151.254607,-33.796405,0
Hornsby Girls High School,151.101083,-33.706627,0
North Sydney Boys High School,151.207734,-33.829336,0
North Sydney Girls High School,151.203447,-33.830244,0
Hunters Hill High School,151.148509,-33.832696,0
Cheltenham Girls High School,151.074096,-33.75627,0
Normanhurst Boys High School,151.101466,-33.721475,0
Marsden High School,151.092237,-33.812981,0
Chatswood High School,151.175324,-33.800013,0
Riverside Girls High School,151.141467,-33.840079,0
Mosman High School,151.243425,-33.829677,0
The Forest High School,151.2298,-33.750298,0
Pittwater High School,151.302664,-33.668259,0
Castle Hill High School,150.999534,-33.726635,0
St Ives High School,151.167078,-33.740147,0
Ryde Secondary College,151.119176,-33.813316,0
Ku-ring-gai High School,151.153809,-33.690973,0
Killarney Heights High School,151.215215,-33.771925,0
Carlingford High School,151.050764,-33.765412,0
Barrenjoey High School,151.333926,-33.63117,0
Killara High School,151.174102,-33.756575,0
Davidson High School,151.205465,-33.74468,0
Galston High School,151.042348,-33.660931,0
Muirfield High School,151.022294,-33.764695,0
Northern Beaches Secondary College Cromer Campus,151.284453,-33.737765,0
Cherrybrook Technology High School,151.037583,-33.719852,0
Northern Beaches Secondary College Mackellar Girls Campus,151.272401,-33.782109,0
Epping Boys High School,151.099645,-33.769453,0
Turramurra High School,151.114786,-33.757307,0
East Hills Girls Technology High School,150.992016,-33.956866,2
Cabramatta High School,150.928913,-33.901422,2
